policy_id,lookback,threshold,switching_cost_bps,sample,method,mean_exposure,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown
MG_L200_T-2_C0,200,-0.02,0.0,historical_holdout,AUR,0.9333333333333333,312,0.1596244284353805,0.12706414349929318,0.13525306778469334,0.9394547981829444,1.1466188173589134,-0.13096078514839304
MG_L200_T-2_C0,200,-0.02,0.0,historical_holdout,QAUR,0.9333333333333333,312,0.22153891014544813,0.17542348032313848,0.1387617664297574,1.2642061630999746,1.5765015609267925,-0.13096078514839304
MG_L200_T-2_C0,200,-0.02,0.0,observed_2026,AUR,0.875,160,0.15677464053046264,0.2578150757961668,0.14775705988791377,1.744857917393195,2.6716322329759814,-0.10778780420055822
MG_L200_T-2_C0,200,-0.02,0.0,observed_2026,QAUR,0.875,160,0.15670690629909867,0.25769907806619696,0.14776449249375742,1.7439851328091147,2.6701483835717004,-0.10778780420055745
MG_L200_T-2_C25,200,-0.02,25.0,bridge,AUR,1.0,22,0.0016570682302721185,0.019146237094389118,0.13637363349341663,0.14039544598123063,0.39307262830926787,-0.05739971099287133
MG_L200_T-2_C25,200,-0.02,25.0,bridge,QAUR,1.0,22,-0.004261013285338566,-0.04773531502797379,0.17620952118709393,-0.27090088382505667,-0.4735245860962242,-0.050549381198343624
MG_L200_T-2_C25,200,-0.02,25.0,development,AUR,0.6206896551724138,604,-0.02648265911056591,-0.01113553189649874,0.1272862434253241,-0.08748417422682209,-0.07752446555053923,-0.30203319479990964
MG_L200_T-2_C25,200,-0.02,25.0,development,QAUR,0.6206896551724138,604,-0.02648265911056591,-0.01113553189649874,0.1272862434253241,-0.08748417422682209,-0.07752446555053923,-0.30203319479990964
MG_L200_T-2_C25,200,-0.02,25.0,historical_holdout,AUR,0.9333333333333333,312,0.15382676863688038,0.12251070896834793,0.13534060812885493,0.905202885239795,1.1095906931099684,-0.13096078514839304
MG_L200_T-2_C25,200,-0.02,25.0,historical_holdout,QAUR,0.9333333333333333,312,0.21544314519817398,0.1706835717195596,0.13879725517305044,1.2297330484436004,1.542373341305333,-0.13096078514839304
MG_L200_T-2_C25,200,-0.02,25.0,observed_2026,AUR,0.875,160,0.1538827039291366,0.25286598991200737,0.1478159285960988,1.710681604571546,2.6309435307622966,-0.10778780420055822
MG_L200_T-2_C25,200,-0.02,25.0,observed_2026,QAUR,0.875,160,0.1538151390333511,0.2527504485947003,0.14782334854040252,1.7098141199637316,2.6294617228329646,-0.10778780420055745
MG_L200_T-2_C50,200,-0.02,50.0,bridge,AUR,1.0,22,0.0016570682302721185,0.019146237094389118,0.13637363349341663,0.14039544598123063,0.39307262830926787,-0.05739971099287133
