config_id,fold,method,fold_return
P_K10P6_CP30_NONE,46,QAUR,0.024968078926954185
P_K10P6_CP30_NONE,47,AUR,-0.038869432050843256
P_K10P6_CP30_NONE,47,QAUR,-0.038869432050843256
P_K10P6_CP30_NONE,48,AUR,0.025728162815696898
P_K10P6_CP30_NONE,48,QAUR,0.025728162815696898
P_K10P6_CP30_NONE,49,AUR,0.030864747983254004
P_K10P6_CP30_NONE,49,QAUR,0.0180324053942178
P_K10P6_CP30_NONE,50,AUR,-0.021623169878764115
P_K10P6_CP30_NONE,50,QAUR,-0.030059243540715652
P_K10P6_CP30_NONE,51,AUR,-0.12099994217297128
P_K10P6_CP30_NONE,51,QAUR,-0.12095597621909704
P_K10P6_CP30_IC0,45,AUR,-0.013783808305198986
P_K10P6_CP30_IC0,45,QAUR,-0.009968136843840125
P_K10P6_CP30_IC0,46,AUR,0.012619152803857725
P_K10P6_CP30_IC0,46,QAUR,0.024968078926954185
P_K10P6_CP30_IC0,47,AUR,-0.038869432050843256
P_K10P6_CP30_IC0,47,QAUR,-0.038869432050843256
P_K10P6_CP30_IC0,48,AUR,0.025728162815696898
P_K10P6_CP30_IC0,48,QAUR,0.025728162815696898
P_K10P6_CP30_IC0,49,AUR,0.030864747983254004
P_K10P6_CP30_IC0,49,QAUR,0.0180324053942178
P_K10P6_CP30_IC0,50,AUR,-0.021623169878764115
P_K10P6_CP30_IC0,50,QAUR,-0.030059243540715652
P_K10P6_CP30_IC0,51,AUR,-0.12099994217297128
P_K10P6_CP30_IC0,51,QAUR,-0.12095597621909704
P_K10P6_CP30_M60,45,AUR,-0.0012499999999999734
P_K10P6_CP30_M60,45,QAUR,-0.0012499999999999734
P_K10P6_CP30_M60,46,AUR,0.01384454963327797
P_K10P6_CP30_M60,46,QAUR,0.018061364940481273
P_K10P6_CP30_M60,47,AUR,-0.038869432050843256
P_K10P6_CP30_M60,47,QAUR,-0.038869432050843256
P_K10P6_CP30_M60,48,AUR,-0.0012499999999999734
P_K10P6_CP30_M60,48,QAUR,-0.0012499999999999734
P_K10P6_CP30_M60,49,AUR,0.0
P_K10P6_CP30_M60,49,QAUR,0.0
P_K10P6_CP30_M60,50,AUR,0.0
P_K10P6_CP30_M60,50,QAUR,0.0
P_K10P6_CP30_M60,51,AUR,-0.12049464385729314
P_K10P6_CP30_M60,51,QAUR,-0.12049464385729314
P_K10P6_CP30_M120,45,AUR,-0.013783808305198986
P_K10P6_CP30_M120,45,QAUR,-0.009968136843840125
