config_id,market_gate_lookback,sample,method,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown
C2_NMV_X,30,observed_2026,QAUR,160,0.009314935371668609,0.014710261178918937,0.12034829947640747,0.12223073564743363,0.12364482406697855,-0.08847964249088591
C2_NMV_X,40,development_2022_2024,AUR,604,0.04052329022797996,0.01671158731581346,0.10346307995887014,0.16152222920926815,0.12417296772153891,-0.25582336911998016
C2_NMV_X,40,development_2022_2024,QAUR,604,0.04052329022797996,0.01671158731581346,0.10346307995887014,0.16152222920926815,0.12417296772153891,-0.25582336911998016
C2_NMV_X,40,historical_holdout_2024_2025,AUR,312,0.12629179683146807,0.10082441105059892,0.12302951926103349,0.8195139805161582,0.9257147166226986,-0.12028015295123973
C2_NMV_X,40,historical_holdout_2024_2025,QAUR,312,0.11829639903242417,0.09450829161410268,0.12132144207523844,0.7789908362240916,0.8378313416100871,-0.12028015295123973
C2_NMV_X,40,observed_2026,AUR,160,-0.005840172281143641,-0.009182814184952592,0.12527674025804603,-0.07330023247761523,-0.06166300038075167,-0.0852669953744637
C2_NMV_X,40,observed_2026,QAUR,160,-0.016258547764270492,-0.025487238796361833,0.11430972628843873,-0.22296649308782054,-0.19681534968524952,-0.09038019929948693
C2_NMV_M,0,development_2022_2024,AUR,604,-0.18994736941132084,-0.08413802992043717,0.1883557579935749,-0.4466974135365018,-0.4820430515039984,-0.4741919895497756
C2_NMV_M,0,development_2022_2024,QAUR,604,-0.18850565873764802,-0.08345830463032344,0.18827322553853243,-0.4432829171094361,-0.4770413935160268,-0.4741919895497756
C2_NMV_M,0,historical_holdout_2024_2025,AUR,312,0.25672356747554503,0.2026941274490215,0.15198242923830652,1.3336681645692061,1.8696063641349698,-0.1179037472065021
C2_NMV_M,0,historical_holdout_2024_2025,QAUR,312,0.25885992536665614,0.2043451934745062,0.14741642490867324,1.386176564796638,1.9089455959912942,-0.1179037472065021
C2_NMV_M,0,observed_2026,AUR,160,0.021901862992001808,0.03471197581709018,0.15171503880101908,0.22879719829631692,0.3044321459654594,-0.08922122034377555
C2_NMV_M,0,observed_2026,QAUR,160,0.021901862992001808,0.03471197581709018,0.15171503880101908,0.22879719829631692,0.3044321459654594,-0.08922122034377555
C2_NMV_M,20,development_2022_2024,AUR,604,0.06640060637978795,0.027185550859174956,0.10019827147419151,0.2713175632593348,0.22995001458174227,-0.20476974939363668
C2_NMV_M,20,development_2022_2024,QAUR,604,0.06689747199615215,0.027385202145312704,0.1002370589369228,0.27320436608725396,0.23163877256926507,-0.20476974939363668
C2_NMV_M,20,historical_holdout_2024_2025,AUR,312,0.2815131686463821,0.22181962815384115,0.12012014430102572,1.8466480326393266,2.532933124909169,-0.07859791023196316
C2_NMV_M,20,historical_holdout_2024_2025,QAUR,312,0.2690005559569464,0.2121749641183439,0.1136770789847756,1.8664709369138506,2.583249245686716,-0.07129012670770063
C2_NMV_M,20,observed_2026,AUR,160,-0.04762355245911776,-0.07397306609063092,0.11426237241035307,-0.6473965534775504,-0.5647292367225814,-0.10596409253766603
C2_NMV_M,20,observed_2026,QAUR,160,-0.04762355245911776,-0.07397306609063092,0.11426237241035307,-0.6473965534775504,-0.5647292367225814,-0.10596409253766603
C2_NMV_M,30,development_2022_2024,AUR,604,0.14385034142557274,0.05767615920517599,0.10391004567910936,0.5550585492310252,0.505643239606713,-0.20476974939363668
C2_NMV_M,30,development_2022_2024,QAUR,604,0.1458861366122628,0.05846113473385728,0.10375670785147541,0.563444387783994,0.5106278260478931,-0.20476974939363668
C2_NMV_M,30,historical_holdout_2024_2025,AUR,312,0.20567417337388583,0.16307792307039315,0.14576737010656923,1.1187546496254157,1.3855931412242724,-0.11790374720650199
C2_NMV_M,30,historical_holdout_2024_2025,QAUR,312,0.193902047788149,0.15389694778023033,0.14049406708651585,1.0953981970317723,1.3455597637477694,-0.11790374720650199
C2_NMV_M,30,observed_2026,AUR,160,-0.06120328639328554,-0.09468397481473656,0.1313522884067437,-0.7208399333062204,-0.7392116798179819,-0.10596409253766559
C2_NMV_M,30,observed_2026,QAUR,160,-0.06120328639328554,-0.09468397481473656,0.1313522884067437,-0.7208399333062204,-0.7392116798179819,-0.10596409253766559
C2_NMV_M,40,development_2022_2024,AUR,604,0.11230831203583902,0.04540844321708293,0.09713399271630518,0.4674825151037011,0.38759432777792785,-0.20476974939363668
C2_NMV_M,40,development_2022_2024,QAUR,604,0.11428796953625375,0.04618431401483036,0.09697030811545694,0.47627273659728264,0.3924555530461233,-0.20476974939363668
C2_NMV_M,40,historical_holdout_2024_2025,AUR,312,0.1925972714813602,0.1528782954320944,0.14349353892698075,1.0654019447515979,1.2615914122124956,-0.11790374720650199
C2_NMV_M,40,historical_holdout_2024_2025,QAUR,312,0.18065142295158232,0.1435420478407916,0.13814043530937567,1.0391023274200535,1.2196234055239472,-0.11790374720650199
C2_NMV_M,40,observed_2026,AUR,160,-0.05374676178232052,-0.08333294836316141,0.1108452122678124,-0.7517956496111101,-0.6075462620143665,-0.0783778812346968
C2_NMV_M,40,observed_2026,QAUR,160,-0.05374676178232052,-0.08333294836316141,0.1108452122678124,-0.7517956496111101,-0.6075462620143665,-0.0783778812346968
C2_NMVT_X,0,development_2022_2024,AUR,604,-0.22117782795173546,-0.09903888277038497,0.17497676018504768,-0.5660116387207411,-0.6241518804853159,-0.4892762597236937
C2_NMVT_X,0,development_2022_2024,QAUR,604,-0.19885452897848965,-0.08835321853750333,0.1758951545438724,-0.5023061537233304,-0.5546592688145283,-0.47463743823140536
C2_NMVT_X,0,historical_holdout_2024_2025,AUR,312,0.19575980774612112,0.15534695087313688,0.1319444324857064,1.177366471222389,1.5087713921567385,-0.12838269282255366
C2_NMVT_X,0,historical_holdout_2024_2025,QAUR,312,0.18098815853747618,0.1438054707220784,0.13086065847292053,1.0989205801057205,1.3874936439710281,-0.12838269282255366
C2_NMVT_X,0,observed_2026,AUR,160,0.09109557230698062,0.14718616187424582,0.15112480293014538,0.973937825032466,1.324663865643145,-0.07483292327410984
C2_NMVT_X,0,observed_2026,QAUR,160,0.07347816082517422,0.11814805109303639,0.14534358661011545,0.8128879563841289,1.1506120231246775,-0.07300778687387699
C2_NMVT_X,20,development_2022_2024,AUR,604,0.06297622081900656,0.025808082450140768,0.0953085454862737,0.27078455891300574,0.21481638850086043,-0.23143809988992525
C2_NMVT_X,20,development_2022_2024,QAUR,604,0.06063949063219032,0.024866641327594863,0.0952799047039014,0.26098516161274726,0.20730110860001066,-0.23143809988992525
C2_NMVT_X,20,historical_holdout_2024_2025,AUR,312,0.23654970746048276,0.1870761597700108,0.0906103998874876,2.064621279701958,2.892200018563892,-0.045980602824840955
C2_NMVT_X,20,historical_holdout_2024_2025,QAUR,312,0.21913363613713677,0.17355374624282427,0.08635091396829372,2.0098657705759737,2.7754957695201536,-0.03978137067748144
