spec_id,worst_segment_return,worst_segment_sharpe,worst_segment_drawdown,minimum_segment_exposure,market_lookback,strategy_lookback_folds,volatility_target,volatility_lookback_days,minimum_validation_ic,overlay_turnover_cost_bps
OV0309,-0.037826337170715485,-0.21161398378711452,-0.16259402397799083,0.375,120,6,0.0,60,-1.0,25.0
OV0321,-0.037826337170715485,-0.21161398378711452,-0.16259402397799083,0.30775235568991866,120,6,0.12,60,-1.0,25.0
OV0329,-0.037826337170715485,-0.21161398378711452,-0.16259402397799083,0.36084125755495217,120,6,0.15,60,-1.0,25.0
OV0333,-0.037826337170715485,-0.21161398378711452,-0.16259402397799083,0.36744454820456546,120,6,0.15,120,-1.0,25.0
OV0369,-0.038798394022385496,-0.21368016654870362,-0.19388954695402294,0.3721683271386281,200,3,0.1,60,-1.0,25.0
OV0098,-0.032870177312586346,-0.21408315696168273,-0.1522509558934404,0.22495796096942453,20,0,0.12,60,0.0,25.0
OV0346,-0.058250436542297446,-0.21511268372648684,-0.30203319479990964,0.3872023975372112,200,0,0.1,120,0.0,25.0
OV0301,-0.032221280604347924,-0.21704111652563957,-0.1522509558934404,0.23584125755495217,120,3,0.15,60,-1.0,25.0
OV0285,-0.029767480523698486,-0.2190841851563668,-0.1522509558934404,0.1572275050366348,120,3,0.1,60,-1.0,25.0
OV0342,-0.059522729052578716,-0.22066700217359547,-0.30203319479990964,0.3837024459958074,200,0,0.1,60,0.0,25.0
OV0094,-0.03384678418388454,-0.22124413694162284,-0.1522509558934404,0.22265990583057688,20,0,0.1,120,0.0,25.0
OV0325,-0.03944860228403835,-0.22126048364333079,-0.16400592554323878,0.2946191988355026,120,6,0.12,120,-1.0,25.0
OV0090,-0.03365802679479424,-0.22137187831628702,-0.1522509558934404,0.22050742221032438,20,0,0.1,60,0.0,25.0
OV0350,-0.06014696800795738,-0.22190041334858696,-0.30203319479990964,0.389816422547433,200,0,0.12,60,0.0,25.0
OV0354,-0.06014696800795738,-0.22190041334858696,-0.30203319479990964,0.389816422547433,200,0,0.12,120,0.0,25.0
OV0281,-0.034152433644935254,-0.22760209468401635,-0.1522509558934404,0.25,120,3,0.0,60,-1.0,25.0
OV0358,-0.06275611357544975,-0.2311763945970442,-0.30203319479990964,0.39244294197739465,200,0,0.15,60,0.0,25.0
OV0362,-0.06275611357544975,-0.2311763945970442,-0.30203319479990964,0.39244294197739465,200,0,0.15,120,0.0,25.0
OV0313,-0.041002599235650194,-0.2322264288863445,-0.16419441637354815,0.25646029640826556,120,6,0.1,60,-1.0,25.0
OV0348,-0.06264540696810017,-0.24151970431890726,-0.30203319479990964,0.2754543092209671,200,0,0.1,120,0.1,25.0
OV0340,-0.0629674657638003,-0.2427346847354663,-0.30203319479990964,0.27586206896551724,200,0,0.0,60,0.1,25.0
OV0352,-0.0629674657638003,-0.2427346847354663,-0.30203319479990964,0.27586206896551724,200,0,0.12,60,0.1,25.0
OV0356,-0.0629674657638003,-0.2427346847354663,-0.30203319479990964,0.27586206896551724,200,0,0.12,120,0.1,25.0
OV0360,-0.0629674657638003,-0.2427346847354663,-0.30203319479990964,0.27586206896551724,200,0,0.15,60,0.1,25.0
OV0364,-0.0629674657638003,-0.2427346847354663,-0.30203319479990964,0.27586206896551724,200,0,0.15,120,0.1,25.0
OV0005,-0.07964301383498829,-0.24803534945965236,-0.3819665100605938,0.6558956141322543,0,0,0.1,60,-1.0,25.0
OV0344,-0.06407271408466098,-0.24809960405835527,-0.30203319479990964,0.27149910536719946,200,0,0.1,60,0.1,25.0
OV0317,-0.04488381565060795,-0.25398796844838195,-0.1678699087179062,0.24551599902958549,120,6,0.1,120,-1.0,25.0
OV0025,-0.08491576304938431,-0.2548820410785008,-0.4108605471779001,0.8596251484792646,0,0,0.15,120,-1.0,25.0
OV0347,-0.07114736584279191,-0.27416434344055024,-0.30203319479990964,0.284209373987506,200,0,0.1,120,0.05,25.0
OV0402,-0.047294791821016924,-0.276636438378066,-0.17379147064396705,0.309481815529293,200,6,0.1,120,0.0,25.0
OV0394,-0.04745834364188506,-0.2774020926011888,-0.17379147064396705,0.3103448275862069,200,6,0.0,60,0.0,25.0
OV0406,-0.04745834364188506,-0.2774020926011888,-0.17379147064396705,0.3103448275862069,200,6,0.12,60,0.0,25.0
OV0410,-0.04745834364188506,-0.2774020926011888,-0.17379147064396705,0.3103448275862069,200,6,0.12,120,0.0,25.0
OV0414,-0.04745834364188506,-0.2774020926011888,-0.17379147064396705,0.3103448275862069,200,6,0.15,60,0.0,25.0
OV0418,-0.04745834364188506,-0.2774020926011888,-0.17379147064396705,0.3103448275862069,200,6,0.15,120,0.0,25.0
OV0343,-0.0725617270512654,-0.2808269511718267,-0.30203319479990964,0.2802541701337385,200,0,0.1,60,0.05,25.0
