ticker,event_type,record_date,ex_date,reason,source_url,corroboration_url
ELC,RIGHTS_ISSUE,2025-02-24,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/179253,
ELC,RIGHTS_ISSUE,2022-09-15,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/152977,
EVF,RIGHTS_ISSUE,2023-09-22,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/161605,
EVG,RIGHTS_ISSUE,2022-01-18,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/147011,
EVG,RIGHTS_ISSUE,2021-01-18,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/77436,
FCM,STOCK_DIVIDEND,2024-11-29,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/176720,
FCN,CASH_DIVIDEND,2021-11-16,2021-11-15,material event terms incomplete,https://www.vsd.vn/vi/ad/145801,https://cafef.vn/du-lieu/fcn/thong-tin-chung.chn
FCN,STOCK_DIVIDEND,2020-12-11,2020-12-10,material event terms incomplete,https://www.vsd.vn/vi/ad/76577,https://cafef.vn/du-lieu/fcn/thong-tin-chung.chn
FCN,CASH_DIVIDEND,2020-12-07,2020-12-04,material event terms incomplete,https://www.vsd.vn/vi/ad/76522,https://cafef.vn/du-lieu/fcn/thong-tin-chung.chn
FIR,STOCK_DIVIDEND,2023-06-28,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/159587,
FIR,STOCK_DIVIDEND,2023-02-14,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/155975,
FIR,STOCK_DIVIDEND,2022-05-13,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/150248,
