ticker,year,source,data_class,records,start,end,missing_close
BTP,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
BTP,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
BTP,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
BTP,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
BTP,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
BTP,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
BTT,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
BTT,2021,finance_datareader_yahoo_hose,real,261,2021-01-01,2021-12-31,0
BTT,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
BTT,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
BTT,2024,finance_datareader_yahoo_hose,real,259,2024-01-01,2024-12-31,0
BTT,2025,finance_datareader_yahoo_hose,real,260,2025-01-01,2025-12-31,0
BVH,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
BVH,2021,finance_datareader_yahoo_hose,real,261,2021-01-01,2021-12-31,0
BVH,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
BVH,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
BVH,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
BVH,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
BWE,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
BWE,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
BWE,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
BWE,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
BWE,2024,finance_datareader_yahoo_hose,real,256,2024-01-01,2024-12-31,0
